user_id,user_type,registration_date,preferred_spot_type,price_sensitivity,avg_booking_duration_hours
69,commuter,2024-10-06,car,low,8
70,resident,2024-04-24,car,high,12
71,visitor,2024-04-14,car,medium,3
72,commuter,2024-07-21,car,low,8
73,commuter,2024-09-02,large,low,8
74,visitor,2024-10-09,large,medium,3
75,visitor,2024-01-10,car,medium,3
76,visitor,2024-01-26,large,medium,3
77,visitor,2024-09-15,car,medium,3
78,commuter,2024-09-11,car,low,8
79,commuter,2024-03-06,large,low,8
80,commuter,2024-01-31,car,low,8
81,resident,2024-03-27,car,high,12
82,shopper,2024-10-06,car,medium,2
83,commuter,2024-06-28,car,low,8
84,commuter,2024-11-03,car,low,8
85,commuter,2024-02-16,car,low,8
86,commuter,2024-10-20,car,low,8
87,visitor,2024-10-28,bike,medium,3
88,shopper,2024-09-29,large,medium,2
89,resident,2024-04-03,car,high,12
90,shopper,2024-09-09,large,medium,2
91,commuter,2024-03-07,car,low,8
92,visitor,2024-04-30,large,medium,3
93,visitor,2024-03-01,car,medium,3
94,shopper,2024-06-26,car,medium,2
95,visitor,2024-01-05,bike,medium,3
96,shopper,2024-04-22,car,medium,2
97,shopper,2024-04-15,large,medium,2
98,shopper,2024-07-29,car,medium,2
99,commuter,2024-10-31,car,low,8
100,commuter,2024-11-22,car,low,8
101,commuter,2024-02-23,large,low,8
102,shopper,2024-02-05,car,medium,2
103,commuter,2024-11-29,car,low,8
104,shopper,2024-01-14,car,medium,2
105,resident,2024-08-07,car,high,12
106,commuter,2024-11-16,car,low,8
107,shopper,2024-10-27,car,medium,2
108,visitor,2024-08-03,large,medium,3
109,commuter,2024-03-29,car,low,8
110,commuter,2024-03-01,car,low,8
111,commuter,2024-02-14,car,low,8
112,commuter,2024-04-04,large,low,8
113,resident,2024-04-04,car,high,12
114,visitor,2024-08-27,bike,medium,3
115,shopper,2024-10-14,car,medium,2
116,resident,2024-06-04,bike,high,12
117,visitor,2024-05-06,bike,medium,3
118,commuter,2024-11-05,bike,low,8
119,resident,2024-11-01,car,high,12
120,shopper,2024-06-12,bike,medium,2
121,visitor,2024-07-28,car,medium,3
122,resident,2024-08-27,car,high,12
123,commuter,2024-04-17,large,low,8
124,commuter,2024-04-30,car,low,8
125,commuter,2024-07-13,car,low,8
126,shopper,2024-07-28,bike,medium,2
127,visitor,2024-04-20,car,medium,3
128,resident,2024-10-13,large,high,12
129,commuter,2024-01-04,car,low,8
130,shopper,2024-11-25,large,medium,2
131,shopper,2024-08-03,car,medium,2
132,commuter,2024-05-08,car,low,8
133,commuter,2024-03-31,bike,low,8
134,commuter,2024-05-11,car,low,8
135,resident,2024-09-09,car,high,12
136,commuter,2024-12-01,bike,low,8
137,shopper,2024-07-20,bike,medium,2
138,visitor,2024-07-09,bike,medium,3
139,commuter,2024-02-22,bike,low,8
140,resident,2024-09-14,bike,high,12
141,resident,2024-07-04,car,high,12
142,commuter,2024-11-03,car,low,8
143,shopper,2024-02-29,large,medium,2
144,commuter,2024-06-25,car,low,8
145,commuter,2024-11-07,car,low,8
146,commuter,2024-04-02,large,low,8
147,shopper,2024-03-06,large,medium,2
148,shopper,2024-11-03,car,medium,2
149,commuter,2024-10-22,large,low,8
150,commuter,2024-10-28,car,low,8
151,resident,2024-10-29,large,high,12
152,commuter,2024-05-10,car,low,8
153,commuter,2024-02-15,car,low,8
154,shopper,2024-02-10,car,medium,2
155,resident,2024-11-12,large,high,12
156,commuter,2024-10-22,large,low,8
157,visitor,2024-02-08,bike,medium,3
158,visitor,2024-03-10,large,medium,3
159,commuter,2024-07-22,car,low,8
160,visitor,2024-06-25,car,medium,3
161,commuter,2024-07-20,car,low,8
162,shopper,2024-09-26,bike,medium,2
163,shopper,2024-04-12,car,medium,2
164,shopper,2024-10-26,car,medium,2
165,commuter,2024-04-12,car,low,8
166,visitor,2024-02-18,large,medium,3
167,commuter,2024-10-26,car,low,8
168,commuter,2024-08-15,large,low,8
169,commuter,2024-07-20,large,low,8
170,shopper,2024-06-07,car,medium,2
171,visitor,2024-07-30,car,medium,3
172,commuter,2024-07-10,car,low,8
173,shopper,2024-04-22,car,medium,2
174,commuter,2024-07-01,large,low,8
175,shopper,2024-01-03,large,medium,2
176,commuter,2024-11-28,large,low,8
177,visitor,2024-07-02,large,medium,3
178,commuter,2024-09-25,car,low,8
179,resident,2024-10-04,car,high,12
180,commuter,2024-02-23,car,low,8
181,commuter,2024-07-16,car,low,8
182,commuter,2024-01-28,car,low,8
183,resident,2024-06-10,car,high,12
184,resident,2024-01-13,car,high,12
185,commuter,2024-03-19,car,low,8
186,visitor,2024-07-27,bike,medium,3
187,visitor,2024-10-16,car,medium,3
188,shopper,2024-07-14,bike,medium,2
189,shopper,2024-12-01,car,medium,2
190,commuter,2024-09-27,car,low,8
191,commuter,2024-09-11,car,low,8
192,resident,2024-02-24,bike,high,12
193,resident,2024-02-19,bike,high,12
194,shopper,2024-10-06,car,medium,2
195,commuter,2024-09-17,car,low,8
196,commuter,2024-11-14,large,low,8
197,visitor,2024-02-08,car,medium,3
198,resident,2024-09-18,large,high,12
199,resident,2024-09-28,bike,high,12
200,visitor,2024-06-28,car,medium,3
201,shopper,2024-11-12,car,medium,2
202,commuter,2024-08-17,car,low,8
203,commuter,2024-10-11,car,low,8
204,resident,2024-02-20,car,high,12
205,shopper,2024-01-20,bike,medium,2
206,commuter,2024-08-03,car,low,8
207,commuter,2024-09-03,car,low,8
208,visitor,2024-11-20,bike,medium,3
209,commuter,2024-06-15,car,low,8
210,commuter,2024-07-28,bike,low,8
211,shopper,2024-09-12,car,medium,2
212,visitor,2024-05-21,car,medium,3
213,visitor,2024-04-06,car,medium,3
214,commuter,2024-08-22,car,low,8
215,visitor,2024-06-06,bike,medium,3
216,commuter,2024-08-08,car,low,8
217,commuter,2024-11-20,car,low,8
218,visitor,2024-05-12,car,medium,3
219,shopper,2024-07-13,car,medium,2
220,visitor,2024-07-13,car,medium,3
221,visitor,2024-01-09,car,medium,3
222,shopper,2024-05-12,large,medium,2
223,commuter,2024-06-16,large,low,8
224,commuter,2024-10-04,car,low,8
225,commuter,2024-09-02,car,low,8
226,commuter,2024-07-20,large,low,8
227,resident,2024-10-08,car,high,12
228,commuter,2024-04-24,large,low,8
229,resident,2024-06-25,car,high,12
230,shopper,2024-01-27,bike,medium,2
231,visitor,2024-10-04,large,medium,3
232,shopper,2024-02-11,bike,medium,2
233,shopper,2024-07-25,car,medium,2
234,shopper,2024-04-23,car,medium,2
235,commuter,2024-03-11,car,low,8
236,visitor,2024-08-24,large,medium,3
237,commuter,2024-04-26,car,low,8
238,commuter,2024-06-16,car,low,8
239,shopper,2024-06-25,large,medium,2
240,commuter,2024-07-02,car,low,8
241,resident,2024-06-27,large,high,12
242,resident,2024-06-18,bike,high,12
243,resident,2024-07-04,bike,high,12
244,commuter,2024-09-28,large,low,8
245,commuter,2024-05-01,car,low,8
246,resident,2024-09-04,bike,high,12
247,shopper,2024-02-15,large,medium,2
248,resident,2024-05-09,car,high,12
249,resident,2024-12-02,large,high,12
250,resident,2024-07-09,car,high,12
251,commuter,2024-04-26,car,low,8
252,commuter,2024-01-27,large,low,8
253,resident,2024-04-08,car,high,12
254,commuter,2024-04-20,bike,low,8
255,commuter,2024-03-16,car,low,8
256,shopper,2024-09-07,bike,medium,2
257,resident,2024-07-10,car,high,12
258,visitor,2024-01-13,large,medium,3
259,shopper,2024-06-14,large,medium,2
260,commuter,2024-08-04,car,low,8
261,shopper,2024-08-09,car,medium,2
262,resident,2024-09-18,car,high,12
263,commuter,2024-11-09,car,low,8
264,shopper,2024-04-03,car,medium,2
265,resident,2024-10-26,large,high,12
266,visitor,2024-05-04,bike,medium,3
267,visitor,2024-08-25,large,medium,3
268,visitor,2024-03-24,bike,medium,3
269,commuter,2024-07-31,bike,low,8
270,commuter,2024-01-02,car,low,8
271,visitor,2024-10-09,car,medium,3
272,visitor,2024-08-12,bike,medium,3
273,resident,2024-03-12,car,high,12
274,resident,2024-11-07,bike,high,12
275,shopper,2024-07-28,large,medium,2
276,shopper,2024-04-13,car,medium,2
277,visitor,2024-04-09,car,medium,3
278,shopper,2024-02-20,large,medium,2
279,visitor,2024-06-23,large,medium,3
280,visitor,2024-01-24,bike,medium,3
281,resident,2024-04-28,large,high,12
282,commuter,2024-04-18,large,low,8
283,commuter,2024-04-03,car,low,8
284,commuter,2024-07-23,bike,low,8
285,shopper,2024-01-11,car,medium,2
286,commuter,2024-03-11,car,low,8
287,shopper,2024-01-17,bike,medium,2
288,shopper,2024-07-15,car,medium,2
289,commuter,2024-10-24,bike,low,8
290,shopper,2024-08-04,car,medium,2
291,commuter,2024-06-14,car,low,8
292,commuter,2024-03-01,car,low,8
293,visitor,2024-09-23,car,medium,3
294,commuter,2024-08-06,car,low,8
295,commuter,2024-09-15,bike,low,8
296,shopper,2024-10-31,car,medium,2
297,visitor,2024-05-08,bike,medium,3
298,commuter,2024-02-29,car,low,8
299,shopper,2024-05-04,bike,medium,2
300,commuter,2024-08-19,car,low,8
301,commuter,2024-05-17,bike,low,8
302,shopper,2024-11-22,large,medium,2
303,shopper,2024-05-22,large,medium,2
304,shopper,2024-11-29,bike,medium,2
305,visitor,2024-07-03,car,medium,3
306,resident,2024-05-02,bike,high,12
307,shopper,2024-02-27,large,medium,2
308,commuter,2024-08-12,large,low,8
309,visitor,2024-08-12,bike,medium,3
310,commuter,2024-04-23,car,low,8
311,shopper,2024-11-18,bike,medium,2
312,commuter,2024-06-13,bike,low,8
313,commuter,2024-09-09,bike,low,8
314,resident,2024-09-28,bike,high,12
315,visitor,2024-03-04,large,medium,3
316,visitor,2024-05-15,car,medium,3
317,shopper,2024-02-18,large,medium,2
318,commuter,2024-10-21,car,low,8
319,commuter,2024-09-24,bike,low,8
320,commuter,2024-08-31,bike,low,8
321,shopper,2024-07-22,car,medium,2
322,visitor,2024-06-18,bike,medium,3
323,visitor,2024-04-14,car,medium,3
324,commuter,2024-06-13,car,low,8
325,resident,2024-07-13,bike,high,12
326,visitor,2024-07-26,bike,medium,3
327,shopper,2024-04-06,car,medium,2
328,shopper,2024-03-01,car,medium,2
329,shopper,2024-06-06,car,medium,2
330,commuter,2024-01-05,car,low,8
331,commuter,2024-01-04,car,low,8
332,visitor,2024-11-17,car,medium,3
333,commuter,2024-08-22,car,low,8
334,commuter,2024-01-19,car,low,8
335,commuter,2024-08-02,car,low,8
336,commuter,2024-04-04,car,low,8
337,resident,2024-02-18,car,high,12
338,visitor,2024-04-08,car,medium,3
339,shopper,2024-05-28,car,medium,2
340,commuter,2024-01-27,car,low,8
341,shopper,2024-10-05,large,medium,2
342,shopper,2024-06-26,car,medium,2
343,commuter,2024-02-10,car,low,8
344,shopper,2024-06-26,car,medium,2
345,commuter,2024-05-24,large,low,8
346,shopper,2024-08-23,bike,medium,2
347,shopper,2024-02-03,car,medium,2
348,commuter,2024-10-11,car,low,8
349,commuter,2024-01-30,car,low,8
350,shopper,2024-02-17,car,medium,2
351,shopper,2024-06-08,car,medium,2
352,resident,2024-04-27,large,high,12
353,visitor,2024-10-28,car,medium,3
354,commuter,2024-01-06,large,low,8
355,commuter,2024-11-26,car,low,8
356,shopper,2024-03-27,bike,medium,2
357,commuter,2024-04-25,car,low,8
358,shopper,2024-01-12,car,medium,2
359,resident,2024-09-15,bike,high,12
360,shopper,2024-09-03,bike,medium,2
361,commuter,2024-01-04,large,low,8
362,shopper,2024-01-22,car,medium,2
363,shopper,2024-03-30,large,medium,2
364,shopper,2024-04-23,bike,medium,2
365,resident,2024-07-18,large,high,12
366,commuter,2024-07-30,car,low,8
367,resident,2024-07-13,car,high,12
368,resident,2024-07-31,bike,high,12
369,commuter,2024-02-15,bike,low,8
370,commuter,2024-05-22,large,low,8
371,commuter,2024-11-18,car,low,8
372,commuter,2024-06-19,bike,low,8
373,commuter,2024-03-28,car,low,8
374,visitor,2024-06-04,car,medium,3
375,commuter,2024-06-11,car,low,8
376,commuter,2024-02-01,car,low,8
377,visitor,2024-02-22,car,medium,3
378,commuter,2024-03-13,car,low,8
379,visitor,2024-10-20,car,medium,3
380,commuter,2024-05-08,car,low,8
381,commuter,2024-02-22,bike,low,8
382,visitor,2024-04-03,car,medium,3
383,shopper,2024-04-17,bike,medium,2
384,resident,2024-10-16,car,high,12
385,visitor,2024-08-11,car,medium,3
386,visitor,2024-07-31,bike,medium,3
387,commuter,2024-02-09,car,low,8
388,commuter,2024-04-04,car,low,8
389,visitor,2024-03-06,large,medium,3
390,visitor,2024-04-29,car,medium,3
391,resident,2024-06-16,large,high,12
392,shopper,2024-04-14,car,medium,2
393,commuter,2024-06-29,car,low,8
394,visitor,2024-08-06,car,medium,3
395,commuter,2024-08-26,car,low,8
396,resident,2024-10-02,car,high,12
397,resident,2024-08-30,large,high,12
398,shopper,2024-08-14,car,medium,2
399,visitor,2024-07-14,bike,medium,3
400,visitor,2024-03-09,large,medium,3
401,commuter,2024-07-11,large,low,8
402,resident,2024-08-25,car,high,12
403,shopper,2024-08-08,car,medium,2
404,visitor,2024-09-02,car,medium,3
405,commuter,2024-11-25,car,low,8
406,resident,2024-09-29,large,high,12
407,commuter,2024-11-09,car,low,8
408,commuter,2024-02-23,car,low,8
409,resident,2024-09-29,car,high,12
410,commuter,2024-10-11,bike,low,8
411,commuter,2024-02-13,car,low,8
412,resident,2024-04-06,car,high,12
413,resident,2024-04-21,bike,high,12
414,shopper,2024-08-30,car,medium,2
415,shopper,2024-07-26,car,medium,2
416,shopper,2024-10-05,bike,medium,2
417,commuter,2024-05-11,car,low,8
418,commuter,2024-10-26,bike,low,8
419,visitor,2024-01-15,large,medium,3
420,visitor,2024-09-16,car,medium,3
421,visitor,2024-02-18,car,medium,3
422,visitor,2024-10-20,car,medium,3
423,commuter,2024-10-03,car,low,8
424,shopper,2024-05-03,large,medium,2
425,commuter,2024-02-01,large,low,8
426,shopper,2024-08-09,large,medium,2
427,shopper,2024-05-22,large,medium,2
428,resident,2024-04-20,bike,high,12
429,commuter,2024-02-05,car,low,8
430,commuter,2024-06-29,bike,low,8
431,commuter,2024-01-20,large,low,8
432,visitor,2024-01-25,car,medium,3
433,shopper,2024-08-18,car,medium,2
434,commuter,2024-07-20,car,low,8
435,commuter,2024-09-13,car,low,8
436,visitor,2024-09-05,car,medium,3
437,commuter,2024-10-25,large,low,8
438,visitor,2024-12-01,car,medium,3
439,visitor,2024-04-16,bike,medium,3
440,commuter,2024-04-06,large,low,8
441,commuter,2024-11-16,car,low,8
442,resident,2024-07-08,car,high,12
443,commuter,2024-04-14,car,low,8
444,commuter,2024-08-05,car,low,8
445,visitor,2024-01-17,car,medium,3
446,resident,2024-08-23,large,high,12
447,resident,2024-10-05,bike,high,12
448,visitor,2024-08-09,large,medium,3
449,commuter,2024-07-19,car,low,8
450,commuter,2024-10-27,car,low,8
451,visitor,2024-09-09,car,medium,3
452,shopper,2024-02-02,car,medium,2
453,shopper,2024-07-08,large,medium,2
454,resident,2024-09-30,bike,high,12
455,commuter,2024-06-30,bike,low,8
456,shopper,2024-07-16,bike,medium,2
457,commuter,2024-03-01,large,low,8
458,shopper,2024-04-22,bike,medium,2
459,commuter,2024-01-31,car,low,8
460,commuter,2024-04-25,car,low,8
461,commuter,2024-01-28,car,low,8
462,shopper,2024-11-19,car,medium,2
463,visitor,2024-08-07,car,medium,3
464,shopper,2024-02-06,large,medium,2
465,resident,2024-07-18,car,high,12
466,commuter,2024-11-12,large,low,8
467,commuter,2024-04-06,car,low,8
468,resident,2024-01-04,large,high,12
469,commuter,2024-07-13,bike,low,8
470,resident,2024-02-07,car,high,12
471,commuter,2024-01-12,bike,low,8
472,resident,2024-10-17,bike,high,12
473,commuter,2024-06-07,bike,low,8
474,resident,2024-06-15,bike,high,12
475,shopper,2024-10-10,car,medium,2
476,resident,2024-06-17,car,high,12
477,commuter,2024-03-24,bike,low,8
478,shopper,2024-05-11,car,medium,2
479,resident,2024-11-14,large,high,12
480,shopper,2024-10-18,bike,medium,2
481,shopper,2024-07-26,car,medium,2
482,visitor,2024-10-04,car,medium,3
483,shopper,2024-03-14,bike,medium,2
484,shopper,2024-02-29,car,medium,2
485,shopper,2024-05-05,bike,medium,2
486,resident,2024-08-28,car,high,12
487,commuter,2024-05-31,large,low,8
488,commuter,2024-03-22,large,low,8
489,resident,2024-11-06,bike,high,12
490,resident,2024-07-19,car,high,12
491,shopper,2024-09-26,large,medium,2
492,shopper,2024-04-22,car,medium,2
493,commuter,2024-10-01,bike,low,8
494,commuter,2024-01-15,car,low,8
495,shopper,2024-08-02,large,medium,2
496,commuter,2024-06-26,car,low,8
497,shopper,2024-11-25,large,medium,2
498,commuter,2024-05-08,large,low,8
499,resident,2024-08-09,car,high,12
500,resident,2024-04-10,car,high,12
